sample_no,V,Cu,Fe
7595,0.409,0.379,0.212
7601,0.412,0.363,0.224
7606,0.411,0.35,0.239
7612,0.416,0.333,0.25
7618,0.419,0.316,0.265
7624,0.414,0.306,0.28
7630,0.414,0.29,0.297
7636,0.408,0.279,0.313
7642,0.408,0.265,0.327
7648,0.397,0.253,0.35
7654,0.39,0.242,0.368
7660,0.384,0.228,0.388
7665,0.375,0.22,0.406
7671,0.362,0.214,0.425
7677,0.35,0.203,0.447
8620,0.266,0.628,0.106
8626,0.278,0.606,0.115
8631,0.29,0.588,0.122
8637,0.303,0.567,0.13
8643,0.317,0.543,0.14
8649,0.327,0.524,0.149
8655,0.339,0.502,0.159
8661,0.35,0.481,0.17
8667,0.358,0.461,0.182
8673,0.367,0.44,0.194
8679,0.374,0.42,0.205
8685,0.379,0.4,0.222
8691,0.38,0.386,0.234
8696,0.386,0.369,0.245
8702,0.386,0.354,0.26
8708,0.387,0.337,0.276
8714,0.386,0.319,0.295
8720,0.386,0.301,0.313
8726,0.38,0.29,0.329
8732,0.372,0.277,0.351
8738,0.371,0.264,0.365
8744,0.366,0.251,0.384
8750,0.355,0.238,0.407
8755,0.35,0.229,0.421
8761,0.337,0.219,0.443
8767,0.327,0.209,0.464
8773,0.315,0.201,0.484
9729,0.238,0.654,0.108
9735,0.255,0.63,0.115
9740,0.266,0.612,0.123
9746,0.275,0.593,0.132
9752,0.29,0.569,0.141
9758,0.3,0.549,0.151
9764,0.309,0.528,0.163
9770,0.321,0.503,0.176
9776,0.33,0.486,0.184
9782,0.338,0.464,0.198
9788,0.339,0.445,0.216
9794,0.349,0.423,0.228
9800,0.356,0.402,0.242
9805,0.355,0.388,0.257
9811,0.357,0.371,0.272
9817,0.362,0.351,0.287
9823,0.358,0.336,0.306
9829,0.357,0.322,0.321
9835,0.353,0.303,0.344
9841,0.35,0.289,0.362
9847,0.344,0.274,0.383
9853,0.336,0.262,0.402
9859,0.328,0.25,0.421
9864,0.322,0.238,0.44
9870,0.314,0.225,0.461
9876,0.3,0.214,0.486
9882,0.291,0.203,0.506
10839,0.217,0.675,0.107
10845,0.23,0.654,0.115
10850,0.24,0.637,0.123
10856,0.253,0.615,0.132
10862,0.264,0.591,0.145
10868,0.274,0.571,0.155
10874,0.282,0.551,0.167
10880,0.292,0.529,0.179
10886,0.303,0.505,0.192
10892,0.309,0.485,0.206
10898,0.315,0.464,0.22
10904,0.322,0.441,0.237
10910,0.329,0.42,0.251
10915,0.327,0.406,0.267
10921,0.33,0.388,0.282
10927,0.332,0.368,0.3
10933,0.335,0.349,0.316
10939,0.33,0.333,0.337
10945,0.329,0.315,0.356
10951,0.325,0.3,0.376
10957,0.319,0.282,0.399
10963,0.312,0.27,0.418
10969,0.308,0.254,0.438
10974,0.3,0.244,0.456
10980,0.289,0.231,0.48
10986,0.279,0.22,0.5
10992,0.268,0.21,0.522
11949,0.196,0.695,0.109
11955,0.207,0.678,0.115
11960,0.215,0.66,0.125
11966,0.226,0.641,0.133
11972,0.239,0.617,0.145
11978,0.249,0.595,0.156
11984,0.258,0.574,0.168
11990,0.264,0.553,0.183
11996,0.276,0.527,0.196
12002,0.284,0.505,0.211
12008,0.289,0.487,0.225
12014,0.298,0.46,0.242
